type,time,latitude,longitude,altitude (m),name,desc
T,2022-06-28 14:59:24.706,22.271277200,114.149511400,399.0,港島徑,山頂至大浪灣
T,2022-06-28 14:59:26.346,22.271292600,114.149496800,398.9,,
T,2022-06-28 14:59:35.775,22.271369100,114.149429700,399.2,,
T,2022-06-28 14:59:38.255,22.271381400,114.149420700,399.4,,
T,2022-06-28 14:59:39.912,22.271393300,114.149415000,399.5,,
T,2022-06-28 14:59:40.976,22.271406000,114.149410800,399.5,,
T,2022-06-28 14:59:42.003,22.271418700,114.149408800,399.4,,
T,2022-06-28 14:59:42.964,22.271430700,114.149408800,399.3,,
T,2022-06-28 14:59:43.845,22.271441600,114.149410500,399.1,,
T,2022-06-28 14:59:44.833,22.271453400,114.149414400,398.9,,
T,2022-06-28 14:59:49.695,22.271510100,114.149437900,397.8,,
T,2022-06-28 14:59:50.489,22.271519500,114.149441300,397.7,,
T,2022-06-28 14:59:51.305,22.271529400,114.149443900,397.5,,
T,2022-06-28 14:59:52.062,22.271538800,114.149445100,397.4,,
T,2022-06-28 14:59:52.799,22.271548000,114.149445100,397.3,,
T,2022-06-28 14:59:53.496,22.271556600,114.149443600,397.2,,
T,2022-06-28 14:59:54.219,22.271564400,114.149440200,397.2,,
T,2022-06-28 14:59:55.131,22.271571800,114.149435900,397.3,,
T,2022-06-28 15:00:10.267,22.271654600,114.149372200,398.4,,
T,2022-06-28 15:00:11.831,22.271663000,114.149366400,398.6,,
T,2022-06-28 15:00:13.082,22.271670400,114.149361900,398.6,,
T,2022-06-28 15:00:14.434,22.271680800,114.149357500,398.7,,
T,2022-06-28 15:00:15.461,22.271691600,114.149354800,398.7,,
T,2022-06-28 15:00:16.266,22.271701600,114.149353600,398.7,,
T,2022-06-28 15:00:17.324,22.271714800,114.149353900,398.6,,
T,2022-06-28 15:00:21.515,22.271766900,114.149359400,398.1,,
T,2022-06-28 15:00:22.405,22.271777900,114.149361200,397.9,,
T,2022-06-28 15:00:23.285,22.271788600,114.149363900,397.7,,
T,2022-06-28 15:00:24.042,22.271797700,114.149366700,397.6,,
T,2022-06-28 15:00:24.901,22.271807800,114.149370600,397.3,,
T,2022-06-28 15:00:25.635,22.271816100,114.149374800,397.0,,
T,2022-06-28 15:00:26.188,22.271822100,114.149378500,396.8,,
T,2022-06-28 15:00:26.736,22.271827600,114.149382900,396.6,,
T,2022-06-28 15:00:27.306,22.271833100,114.149387800,396.3,,
T,2022-06-28 15:00:27.889,22.271838300,114.149393300,396.0,,
T,2022-06-28 15:00:28.565,22.271843600,114.149400400,395.6,,
T,2022-06-28 15:00:30.356,22.271856700,114.149420000,394.5,,
T,2022-06-28 15:00:31.395,22.271864000,114.149431600,393.8,,
T,2022-06-28 15:00:33.634,22.271878400,114.149457500,392.6,,
T,2022-06-28 15:00:34.613,22.271884900,114.149468700,392.1,,
T,2022-06-28 15:00:35.276,22.271889800,114.149475900,391.8,,
T,2022-06-28 15:00:36.01,22.271896200,114.149483000,391.5,,
T,2022-06-28 15:00:36.717,22.271903000,114.149489100,391.2,,
T,2022-06-28 15:00:37.626,22.271912900,114.149495100,390.9,,
T,2022-06-28 15:00:38.307,22.271920600,114.149499000,390.6,,
T,2022-06-28 15:00:38.939,22.271928200,114.149501300,390.4,,
T,2022-06-28 15:00:39.647,22.271936900,114.149503000,390.2,,
T,2022-06-28 15:00:40.428,22.271946600,114.149504100,390.2,,
T,2022-06-28 15:00:49.767,22.271975800,114.149505600,391.3,,
T,2022-06-28 15:00:52.815,22.271985700,114.149506700,391.7,,
T,2022-06-28 15:00:55.294,22.271994000,114.149508000,392.0,,
T,2022-06-28 15:00:58.1,22.272004000,114.149510500,392.3,,
T,2022-06-28 15:01:01.183,22.272015900,114.149514800,392.7,,
T,2022-06-28 15:01:04.105,22.272027800,114.149519900,393.0,,
T,2022-06-28 15:01:06.279,22.272037200,114.149524600,393.2,,
T,2022-06-28 15:01:08.114,22.272045800,114.149529700,393.4,,
T,2022-06-28 15:01:12.683,22.272069200,114.149545600,393.8,,
T,2022-06-28 15:01:14.43,22.272077400,114.149550200,394.0,,
T,2022-06-28 15:01:16.458,22.272086000,114.149553900,394.2,,
T,2022-06-28 15:01:18.493,22.272093800,114.149556200,394.4,,
T,2022-06-28 15:01:21.082,22.272102900,114.149557800,394.7,,
T,2022-06-28 15:01:23.599,22.272111200,114.149558500,395.0,,
