X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
114.1490287,22.2743896,,,,,H001,,,,,,,,,,,,,,,,,,
114.1481334,22.2772105,,,,,H002,,,,,,,,,,,,,,,,,,
114.1446555,22.2777579,,,,,H003,,,,,,,,,,,,,,,,,,
114.1418932,22.2760536,,,,,H004,,,,,,,,,,,,,,,,,,
114.1386108,22.2743802,,,,,H005,,,,,,,,,,,,,,,,,,
114.1366801,22.2733,,,,,H006,,,,,,,,,,,,,,,,,,
114.1329473,22.2734312,,,,,H007,,,,,,,,,,,,,,,,,,
114.1336096,22.27007,,,,,H008,,,,,,,,,,,,,,,,,,
114.1349332,22.2672539,,,,,H009,,,,,,,,,,,,,,,,,,
114.1376544,22.2672444,,,,,H010,,,,,,,,,,,,,,,,,,
114.1399352,22.268001,,,,,H011,,,,,,,,,,,,,,,,,,
114.1429552,22.2685842,,,,,H012,,,,,,,,,,,,,,,,,,
114.1463008,22.2688979,,,,,H013,,,,,,,,,,,,,,,,,,
114.14402,22.2673601,,,,,H014,,,,,,,,,,,,,,,,,,
114.1415163,22.265341,,,,,H015,,,,,,,,,,,,,,,,,,
114.1417343,22.2637295,,,,,H016,,,,,,,,,,,,,,,,,,
114.1407601,22.2607701,,,,,H017,,,,,,,,,,,,,,,,,,
114.1428601,22.25991,,,,,H018,,,,,,,,,,,,,,,,,,
114.1451801,22.2594,,,,,H019,,,,,,,,,,,,,,,,,,
114.147158,22.2567745,,,,,H020,,,,,,,,,,,,,,,,,,
114.14583,22.2543701,,,,,H021,,,,,,,,,,,,,,,,,,
114.144489,22.2522647,,,,,H022,,,,,,,,,,,,,,,,,,
114.14686,22.25214,,,,,H023,,,,,,,,,,,,,,,,,,
114.1501599,22.2536002,,,,,H024,,,,,,,,,,,,,,,,,,
114.1532298,22.2556601,,,,,H025,,,,,,,,,,,,,,,,,,
114.1552722,22.2586511,,,,,H026,,,,,,,,,,,,,,,,,,
114.1543975,22.2606341,,,,,H027,,,,,,,,,,,,,,,,,,
114.1567902,22.2605548,,,,,H028,,,,,,,,,,,,,,,,,,
114.1570898,22.25882,,,,,H029,,,,,,,,,,,,,,,,,,
114.1551,22.2558601,,,,,H030,,,,,,,,,,,,,,,,,,
114.1552829,22.2539413,,,,,H031,,,,,,,,,,,,,,,,,,
114.1567092,22.2547102,,,,,H032,,,,,,,,,,,,,,,,,,
114.1596975,22.2579988,,,,,H033,,,,,,,,,,,,,,,,,,
114.1595552,22.2627387,,,,,H034,,,,,,,,,,,,,,,,,,
114.1616674,22.2622766,,,,,H035,,,,,,,,,,,,,,,,,,
114.1621903,22.2605511,,,,,H036,,,,,,,,,,,,,,,,,,
114.1652699,22.2633702,,,,,H037,,,,,,,,,,,,,,,,,,
114.1671154,22.2647992,,,,,H038,,,,,,,,,,,,,,,,,,
114.1682663,22.264939,,,,,H039,,,,,,,,,,,,,,,,,,
114.1672889,22.2615972,,,,,H040,,,,,,,,,,,,,,,,,,
114.1680525,22.2585173,,,,,H041,,,,,,,,,,,,,,,,,,
114.16971,22.2566101,,,,,H042,,,,,,,,,,,,,,,,,,
114.17254,22.2542901,,,,,H043,,,,,,,,,,,,,,,,,,
114.1717698,22.2570401,,,,,H044,,,,,,,,,,,,,,,,,,
114.1740399,22.25794,,,,,H045,,,,,,,,,,,,,,,,,,
114.1767642,22.259403,,,,,H046,,,,,,,,,,,,,,,,,,
114.18027,22.25983,,,,,H047,,,,,,,,,,,,,,,,,,
114.1831,22.25856,,,,,H048,,,,,,,,,,,,,,,,,,
114.1868573,22.2571158,,,,,H049,,,,,,,,,,,,,,,,,,
114.1911457,22.2583834,,,,,H050,,,,,,,,,,,,,,,,,,
114.195408,22.2574351,,,,,H051,,,,,,,,,,,,,,,,,,
114.1980152,22.2581954,,,,,H052,,,,,,,,,,,,,,,,,,
114.1978144,22.2605313,,,,,"H053;W009",,,,,,,,,,,,,,,,,,
114.197675,22.2649674,,,,,"H054;W010",,,,,,,,,,,,,,,,,,
114.1998778,22.2664001,,,,,"H055;W011",,,,,,,,,,,,,,,,,,
114.2031024,22.2675197,,,,,"H056;W012",,,,,,,,,,,,,,,,,,
114.2074319,22.2691746,,,,,"H057;W013",,,,,,,,,,,,,,,,,,
114.2102726,22.2683488,,,,,H058,,,,,,,,,,,,,,,,,,
114.2129975,22.2669961,,,,,H059,,,,,,,,,,,,,,,,,,
114.2140923,22.2658569,,,,,H060,,,,,,,,,,,,,,,,,,
114.214182,22.2630988,,,,,H061,,,,,,,,,,,,,,,,,,
114.2135172,22.2604451,,,,,H062,,,,,,,,,,,,,,,,,,
114.2119103,22.2585943,,,,,H063,,,,,,,,,,,,,,,,,,
114.2118489,22.2563575,,,,,H064,,,,,,,,,,,,,,,,,,
114.2143493,22.253346,,,,,H065,,,,,,,,,,,,,,,,,,
114.2155336,22.251625,,,,,H066,,,,,,,,,,,,,,,,,,
114.2182886,22.2517081,,,,,H067,,,,,,,,,,,,,,,,,,
114.2213155,22.2480519,,,,,H068,,,,,,,,,,,,,,,,,,
114.2237664,22.2479954,,,,,H069,,,,,,,,,,,,,,,,,,
114.226174,22.2506845,,,,,H070,,,,,,,,,,,,,,,,,,
114.2276673,22.2514603,,,,,H071,,,,,,,,,,,,,,,,,,
114.2265694,22.2492805,,,,,H072,,,,,,,,,,,,,,,,,,
114.226363,22.2464132,,,,,H073,,,,,,,,,,,,,,,,,,
114.228573,22.2426863,,,,,H074,,,,,,,,,,,,,,,,,,
114.2320338,22.2413795,,,,,H075,,,,,,,,,,,,,,,,,,
114.2321339,22.2435492,,,,,H076,,,,,,,,,,,,,,,,,,
114.2310243,22.2469065,,,,,H077,,,,,,,,,,,,,,,,,,
114.2330967,22.2442759,,,,,H078,,,,,,,,,,,,,,,,,,
114.2367106,22.2420363,,,,,H079,,,,,,,,,,,,,,,,,,
114.2366132,22.2392024,,,,,H080,,,,,,,,,,,,,,,,,,
114.236067,22.2361784,,,,,H081,,,,,,,,,,,,,,,,,,
114.2371538,22.2330236,,,,,H082,,,,,,,,,,,,,,,,,,
114.2369815,22.2285602,,,,,H083,,,,,,,,,,,,,,,,,,
114.2386955,22.2271123,,,,,H084,,,,,,,,,,,,,,,,,,
114.2411154,22.2293317,,,,,H085,,,,,,,,,,,,,,,,,,
114.2439278,22.230572,,,,,H086,,,,,,,,,,,,,,,,,,
114.24374,22.234618,,,,,H087,,,,,,,,,,,,,,,,,,
114.2426559,22.2378485,,,,,H088,,,,,,,,,,,,,,,,,,
114.2413914,22.2415682,,,,,H089,,,,,,,,,,,,,,,,,,
114.2389097,22.2438676,,,,,H090,,,,,,,,,,,,,,,,,,
114.2363473,22.2466197,,,,,H091,,,,,,,,,,,,,,,,,,
114.2349103,22.2481779,,,,,H092,,,,,,,,,,,,,,,,,,
114.2315431,22.2514591,,,,,H093,,,,,,,,,,,,,,,,,,
114.2329411,22.2550178,,,,,H094,,,,,,,,,,,,,,,,,,
114.2366063,22.2572587,,,,,H095,,,,,,,,,,,,,,,,,,
114.2396911,22.2562561,,,,,H096,,,,,,,,,,,,,,,,,,
114.2417564,22.2549653,,,,,H097,,,,,,,,,,,,,,,,,,
114.2455813,22.2518175,,,,,H098,,,,,,,,,,,,,,,,,,
114.245533,22.249772,,,,,H099,,,,,,,,,,,,,,,,,,
114.2450582,22.2474396,,,,,H100,,,,,,,,,,,,,,,,,,
