X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
114.2071789,22.2270682,,,,,W001,,,,,,,,,,,,,,,,,,
114.2057338,22.2306855,,,,,W002,,,,,,,,,,,,,,,,,,
114.2063185,22.2362044,,,,,W003,,,,,,,,,,,,,,,,,,
114.2043379,22.2409086,,,,,W004,,,,,,,,,,,,,,,,,,
114.2024918,22.2421623,,,,,W005,,,,,,,,,,,,,,,,,,
114.1999659,22.2427095,,,,,W006,,,,,,,,,,,,,,,,,,
114.2000418,22.2489611,,,,,W007,,,,,,,,,,,,,,,,,,
114.1986123,22.2549506,,,,,W008,,,,,,,,,,,,,,,,,,
114.1978144,22.2605313,,,,,W009,,,,,,,,,,,,,,,,,,
114.197675,22.2649674,,,,,W010,,,,,,,,,,,,,,,,,,
114.1998778,22.2664001,,,,,W011,,,,,,,,,,,,,,,,,,
114.2031024,22.2675197,,,,,W012,,,,,,,,,,,,,,,,,,
114.2074319,22.2691746,,,,,W013,,,,,,,,,,,,,,,,,,
114.2068955,22.272173,,,,,W014,,,,,,,,,,,,,,,,,,
114.2059983,22.2773778,,,,,W015,,,,,,,,,,,,,,,,,,
114.2071374,22.2802457,,,,,W016,,,,,,,,,,,,,,,,,,
114.2108738,22.2780602,,,,,W017,,,,,,,,,,,,,,,,,,
114.2131399,22.2793923,,,,,W018,,,,,,,,,,,,,,,,,,
114.2412784,22.2951451,,,,,W019,,,,,,,,,,,,,,,,,,
114.2412803,22.290564,,,,,W020,,,,,,,,,,,,,,,,,,
114.2444179,22.2931817,,,,,W021,,,,,,,,,,,,,,,,,,
114.2454739,22.2968251,,,,,W022,,,,,,,,,,,,,,,,,,
114.2437907,22.3002837,,,,,W023,,,,,,,,,,,,,,,,,,
114.2440017,22.3024607,,,,,W024,,,,,,,,,,,,,,,,,,
114.2445115,22.3094404,,,,,W025,,,,,,,,,,,,,,,,,,
114.2463063,22.3132619,,,,,W026,,,,,,,,,,,,,,,,,,
114.2456467,22.3176761,,,,,W027,,,,,,,,,,,,,,,,,,
114.2458268,22.3221147,,,,,W028,,,,,,,,,,,,,,,,,,
114.2457301,22.3262724,,,,,W029,,,,,,,,,,,,,,,,,,
114.2443041,22.3305537,,,,,W030,,,,,,,,,,,,,,,,,,
114.2408138,22.3330649,,,,,W031,,,,,,,,,,,,,,,,,,
114.2370738,22.3355315,,,,,W032,,,,,,,,,,,,,,,,,,
114.2352502,22.3385053,,,,,W033,,,,,,,,,,,,,,,,,,
114.2332763,22.3438086,,,,,W034,,,,,,,,,,,,,,,,,,
114.2349466,22.3465255,,,,,W035,,,,,,,,,,,,,,,,,,
114.2342424,22.3506398,,,,,W036,,,,,,,,,,,,,,,,,,
114.2347574,22.3517975,,,,,W037,,,,,,,,,,,,,,,,,,
114.2299213,22.3551174,,,,,W038,,,,,,,,,,,,,,,,,,
114.2256686,22.3574677,,,,,W039,,,,,,,,,,,,,,,,,,
114.2220923,22.3567412,,,,,W040,,,,,,,,,,,,,,,,,,
114.2209913,22.3532238,,,,,W041,,,,,,,,,,,,,,,,,,
114.2192288,22.3562492,,,,,W042,,,,,,,,,,,,,,,,,,
114.2151413,22.3558132,,,,,W043,,,,,,,,,,,,,,,,,,
114.2101751,22.355372,,,,,W044,,,,,,,,,,,,,,,,,,
114.2069151,22.3546759,,,,,W045,,,,,,,,,,,,,,,,,,
114.2024502,22.3544367,,,,,W046,,,,,,,,,,,,,,,,,,
114.1993241,22.3562771,,,,,W047,,,,,,,,,,,,,,,,,,
114.1983947,22.3602793,,,,,W048,,,,,,,,,,,,,,,,,,
114.19542,22.3636976,,,,,W049,,,,,,,,,,,,,,,,,,
114.1927262,22.3658184,,,,,W050,,,,,,,,,,,,,,,,,,
114.1904494,22.3638556,,,,,W051,,,,,,,,,,,,,,,,,,
114.1871461,22.3644548,,,,,W052,,,,,,,,,,,,,,,,,,
114.1848837,22.3629925,,,,,W053,,,,,,,,,,,,,,,,,,
114.1828148,22.3613354,,,,,W054,,,,,,,,,,,,,,,,,,
114.1782783,22.3597691,,,,,W055,,,,,,,,,,,,,,,,,,
114.1770328,22.3560875,,,,,W056,,,,,,,,,,,,,,,,,,
114.1736411,22.354957,,,,,W057,,,,,,,,,,,,,,,,,,
114.1694573,22.3555362,,,,,W058,,,,,,,,,,,,,,,,,,
114.16596,22.3559166,,,,,W059,,,,,,,,,,,,,,,,,,
114.1619068,22.3552318,,,,,W060,,,,,,,,,,,,,,,,,,
114.1580745,22.3551102,,,,,W061,,,,,,,,,,,,,,,,,,
114.1583062,22.3581154,,,,,W062,,,,,,,,,,,,,,,,,,
114.1551277,22.3588414,,,,,W063,,,,,,,,,,,,,,,,,,
114.1517137,22.3579485,,,,,W064,,,,,,,,,,,,,,,,,,
114.1526689,22.3614753,,,,,W065,,,,,,,,,,,,,,,,,,
114.1512592,22.3669868,,,,,W066,,,,,,,,,,,,,,,,,,
114.1496591,22.3701722,,,,,W067,,,,,,,,,,,,,,,,,,
114.1488521,22.3718341,,,,,W068,,,,,,,,,,,,,,,,,,
114.148795,22.3781247,,,,,W069,,,,,,,,,,,,,,,,,,
114.1476287,22.3810864,,,,,W070,,,,,,,,,,,,,,,,,,
114.1481936,22.3843062,,,,,W071,,,,,,,,,,,,,,,,,,
114.150819,22.3849473,,,,,W072,,,,,,,,,,,,,,,,,,
114.1521171,22.3875069,,,,,W073,,,,,,,,,,,,,,,,,,
114.1532098,22.3891355,,,,,W074,,,,,,,,,,,,,,,,,,
114.1497282,22.388124,,,,,W075,,,,,,,,,,,,,,,,,,
114.1505408,22.3908202,,,,,W076,,,,,,,,,,,,,,,,,,
114.1537852,22.3944494,,,,,W077,,,,,,,,,,,,,,,,,,
114.1529889,22.3959572,,,,,W078,,,,,,,,,,,,,,,,,,
114.150765,22.3987243,,,,,W079,,,,,,,,,,,,,,,,,,
114.1521803,22.4008254,,,,,W080,,,,,,,,,,,,,,,,,,
114.1529822,22.4039654,,,,,W081,,,,,,,,,,,,,,,,,,
114.1549096,22.4063199,,,,,W082,,,,,,,,,,,,,,,,,,
114.1567941,22.4106447,,,,,W083,,,,,,,,,,,,,,,,,,
114.1581524,22.4125263,,,,,W084,,,,,,,,,,,,,,,,,,
114.1592195,22.4184101,,,,,W085,,,,,,,,,,,,,,,,,,
